idMao,idPartida,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,roboCartaVirada,humanoCartaVirada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,roboMentiuEnvido,humanoMentiuEnvido,roboMentiuFlor,humanoMentiuFlor,roboMentiuTruco,humanoMentiuTruco,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,hasDeception,roboMentiuRound1,humanoMentiuRound1,roboMentiuRound2,humanoMentiuRound2,roboMentiuRound3,humanoMentiuRound3,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,primeiraCartaHumanoClustering,segundaCartaHumanoClustering,d,primeiraCartaRoboClustering,segundaCartaRoboClustering,terceiraCartaRoboClustering,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,cartaAltaRoboClustering,cartaMediaRoboClustering,cartaBaixaRoboClustering,clusterPrimeiraCartaAgentePe,clusterSegundaCartaAgenteGanhouAprimeira,clusterSegundaCartaAgentePerdeuAprimeira,clusterTerceiraCartaAgenteGanhouAsegunda,clusterGanhadorUltimaRodada,clusterTerceiraCartaAgentePerdeuAsegunda,clusterPrimeiraCartaAgenteMao,clusterQuemTruco,clusterQuandoTruco,ganhadorPrimeiraRodadaClustering,ganhadorSegundaRodadaClustering,ganhadorTerceiraRodadaClustering,ganhadorMao,clusterQuemEnvidoAgenteMao,clusterQuemFlor,id,saldoTruco,saldoEnvido,saldoFlor,clusterQuemEnvidoAgentePe,clusteringindexacao
567,b66cfa95-997e-4b99-9a8a-8128da0cf2bf,1,24,6,2,42,7,6,24,6,6,7,-15,null,1,2,2,null,null,0,0,0,28,7,0,0,0,1,null,null,null,null,null,null,null,null,null,2,3,0,0,0,0,1,2,1,1,2,4,3,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,31,COPAS,COPAS,COPAS,ESPADAS,OURO,BASTOS,COPAS,BASTOS,COPAS,OURO,null,null,0,0,0,0,7,7,-15,144,80,-15,null,null,16,7,3,0,2,0,0,null,2,3,5,5,1,2,2,1,3,null,496,-1,-1,null,0,null
568,b66cfa95-997e-4b99-9a8a-8128da0cf2bf,2,16,8,2,16,3,2,2,2,16,16,-50,3,0,1,1,null,null,1,0,0,25,27,0,2,2,null,null,null,null,null,null,null,null,1,null,2,2,1,3,0,0,2,1,2,4,3,6,5,4,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,23,null,null,COPAS,BASTOS,BASTOS,ESPADAS,COPAS,ESPADAS,BASTOS,ESPADAS,COPAS,ESPADAS,null,COPAS,0,0,0,0,3,16,-50,43,144,-50,null,null,16,7,3,5,0,0,2,null,0,0,5,2,0,1,1,1,0,null,497,2,-2,null,5,null
569,b66cfa95-997e-4b99-9a8a-8128da0cf2bf,1,24,16,7,7,6,1,16,1,7,null,-50,null,1,1,1,null,null,1,0,0,25,24,2,1,1,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,1,1,6,5,8,5,null,null,null,null,null,null,2,2,null,null,null,null,null,null,null,null,null,null,null,COPAS,COPAS,OURO,COPAS,OURO,COPAS,COPAS,COPAS,OURO,null,null,null,0,0,0,0,3,-50,-50,80,-50,-50,null,null,16,16,7,0,1,0,2,null,0,5,1,3,1,1,1,1,5,null,498,1,1,null,0,null
570,b66cfa95-997e-4b99-9a8a-8128da0cf2bf,2,52,24,7,8,6,2,7,2,-50,null,-50,null,1,1,1,null,null,0,0,0,23,5,0,0,0,null,null,null,null,null,null,null,null,null,null,1,2,0,0,0,0,2,1,1,8,5,9,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESPADAS,OURO,OURO,ESPADAS,OURO,COPAS,OURO,COPAS,null,null,null,null,0,0,0,0,3,-50,-50,43,-50,-50,null,null,51,16,7,1,1,0,2,null,0,0,5,5,1,1,1,1,0,null,499,1,1,null,5,null
571,0f2c8727-41df-4143-9dae-d0a7fba682a9,1,52,8,7,24,12,2,7,12,8,2,52,24,2,1,1,null,null,0,0,0,1,24,0,0,0,null,null,null,null,null,null,null,null,null,null,2,2,1,2,0,0,0,1,3,1,0,4,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESPADAS,OURO,COPAS,COPAS,COPAS,BASTOS,COPAS,COPAS,OURO,BASTOS,ESPADAS,COPAS,0,0,0,0,12,3,16,43,80,144,null,null,51,7,7,0,0,1,1,null,0,1,3,2,2,1,1,1,3,null,500,3,1,null,0,null
572,0f2c8727-41df-4143-9dae-d0a7fba682a9,2,40,24,8,24,16,1,24,16,8,24,40,1,1,2,1,null,null,2,0,1,30,26,0,1,5,null,null,null,null,null,null,null,null,null,null,1,1,0,0,0,0,0,1,2,4,0,11,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,OURO,OURO,COPAS,COPAS,BASTOS,BASTOS,OURO,BASTOS,COPAS,COPAS,OURO,BASTOS,0,0,0,0,16,16,3,80,43,144,null,null,41,16,7,1,2,0,0,null,1,0,1,3,1,2,1,1,0,null,501,2,5,null,6,null
573,0f2c8727-41df-4143-9dae-d0a7fba682a9,1,24,2,2,8,8,6,2,6,24,8,2,null,2,1,2,null,null,2,0,0,5,20,1,2,1,null,null,null,null,null,null,null,null,null,null,1,2,2,3,0,0,1,2,2,11,0,11,3,null,3,null,null,null,null,null,null,null,null,null,null,1,null,null,23,null,null,null,ESPADAS,BASTOS,COPAS,OURO,ESPADAS,ESPADAS,COPAS,ESPADAS,ESPADAS,ESPADAS,BASTOS,null,0,0,0,0,7,7,-15,43,144,43,null,null,16,3,3,0,0,3,1,null,0,5,4,2,2,1,2,1,1,null,502,-2,-1,null,0,null
574,0f2c8727-41df-4143-9dae-d0a7fba682a9,2,24,6,2,16,7,4,2,7,24,16,6,4,2,1,1,null,null,0,0,0,5,7,0,0,0,null,null,null,null,null,null,null,null,null,null,1,1,2,3,0,0,0,1,3,11,3,14,3,null,null,null,null,null,null,null,null,null,null,null,null,1,14,14,null,null,null,null,COPAS,ESPADAS,BASTOS,BASTOS,ESPADAS,COPAS,BASTOS,ESPADAS,COPAS,BASTOS,ESPADAS,COPAS,0,0,0,0,7,16,3,43,144,80,null,null,16,7,3,5,0,2,1,null,0,0,3,2,2,1,1,1,0,null,503,0,-1,null,5,null
575,0f2c8727-41df-4143-9dae-d0a7fba682a9,1,6,6,4,16,12,4,6,12,-15,null,-15,null,2,2,2,null,null,2,0,0,27,30,0,1,2,null,null,null,null,null,null,null,null,2,null,2,2,0,0,0,0,1,2,1,14,3,16,4,null,4,null,null,null,null,null,null,null,null,null,null,1,14,null,null,null,null,null,BASTOS,OURO,BASTOS,COPAS,COPAS,COPAS,OURO,COPAS,null,null,null,null,0,0,0,0,12,-15,-15,80,-15,-15,null,null,7,7,3,0,0,4,0,null,2,5,5,5,2,2,2,2,1,null,504,0,2,null,0,null
576,0f2c8727-41df-4143-9dae-d0a7fba682a9,2,3,2,1,7,7,3,1,7,2,3,-15,null,2,2,2,null,null,2,0,1,29,26,0,1,5,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,2,1,16,4,21,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BASTOS,COPAS,COPAS,ESPADAS,COPAS,COPAS,COPAS,COPAS,COPAS,COPAS,null,null,0,0,0,0,7,3,-15,43,-15,-15,null,null,3,3,3,5,0,4,0,null,2,0,1,3,2,2,2,2,0,null,505,0,5,null,6,null
